Number,MIC,Company Name,Model Name,Problem 1,Last Date
16CG079S,PHO,PHOWLER BOAT COMPANY,1850 LIGHT JON,BASIC FLOTATION,2020-02-11
170010T,PCM,PLEASURECRAFT ENGINE GROUP,"""6.0 L, 6.0L HO""",ELECTRICAL SYSTEM,2020-02-11
190036T,MB2,MALIBU BOATS INC,,FUEL SYSTEM,2020-02-11
20SD0010,AHQ,THUNDER JET BOATS,176 TO 180 ECOJET,BASIC FLOTATION,2020-12-10
150011T,GEN,G3 BOATS,DEEP VEE,DECK HINGE FAILURE,2020-02-10
19CG158S,FIS,FISH-RITE BOATS,SVW 15,SAFE LOADING MAX WT,2020-02-10
14CG010,VRH,RHINO ROTO MOLDING,BEAVERTAIL STEALTH 2000,,2020-02-10
14CG008,CFP,CUSTOM FIBERGLASS PROD INC,C HAWK 18 CC,LEVEL FLOTATION,2020-02-10
18CG132S,EKH,CAROLINA SKIFF LLC,JV 13 TILLER,SAFE LOADING MAX WT,2020-02-10
18CG133S,TUF,TUFFY BOATS,ESOX ROUSTABOUT,LEVEL FLOTATION,2020-02-10
150019T,ZEP,PELICAN INTERNATIONAL,KRJ 12 AND 14,,2020-01-10
090050S,,BOSTON WHALER INC,180 DAUNTLESS,SAFE LOADING MAX WT,2020-11-09
180011S,BUJ,TRACKER,PT195,,2020-06-09
16CG064S,BFA,B&B BOATS,MOSQUITO BAY SKIFF /BUZZLITE XTR,,2020-12-08
180001T,YAM,YAMAHA MOTOR CORP,"""AR190, SX190, AR195, AND SX195""",FUEL SYSTEM,2020-02-07
15R5639S,STR,STARCRAFT MARINE,LIMITED 2000,,2020-08-06
170007S,WDB,WELDBILT COMMERCIAL,,HULL ID NUMBER,2020-08-06
100016T,YAM,YAMAHA MOTOR CORP,"""AR240 HO, SX240 HO, 242 LTD""",DYNAMIC INSTABILITY,2020-05-06
120043T,HQZ,UFLEX USA INC,X-66 TILT STEERING ASSY,STEERING,2020-02-06
16CG083S,WDB,WELDBILT COMMERCIAL BOATS,1548V,SAFE LOADING MAX WT,2020-11-05
11P053S,WDB,WELDBILT COMMERCIAL BOATS,1752,SAFE LOADING MAX WT,2020-11-05
20SD0009,TRT,TRITON BOATS,18 TRX 189 TRX 19 TRX,LEVEL FLOTATION,2020-06-05
20SD0024,XRT,MASTER CRAFT,,EACH FUEL LINE FROM TANK,2020-11-03
100023T,HQZ,CUMMINS MERCRUISER DIESEL,QSM11,,2020-12-02
100022T,,MERCURY MARINE,MERCRSR ALPHA & BRAVO STRNDRV,IM SHIFT CABLE SEPARATION,2020-12-02
11R4294S,SRR,CARAVELLE POWERBOATS,'202 BR' IB POWERED BOAT,ELECTRICAL,2019-12-12
180023T,THV,THUNDER JET BOATS,"""T186RS, SARS18""",STEERING INTERFERENCE,2019-03-12
17CG098S,EDM,RHINO MARINE INC,16 WIDE JON,,2019-08-08
18R5970S,HCO,HARBOR COTTAGE LLC,�84X16� HOUSEBOAT,ELECTRICAL SYSTEM,2019-04-08
080047T,KAW,KAWASAKI MOTORS CORP USA,VARIOUS,ENGINE; GASOLINE,2019-05-07
17CG100S,PNY,STINGRAY BOAT COMPANY,182 SC,LEVEL FLOTATION,2019-09-06
17CG114s,JOK,K L INDUSTRIES,ELECTRIC PEDAL BOAT,SAFE LOADING MAX WT,2019-06-05
10R3848S,BIC,BIC SPORT NORTH AMERICA INC,'SPORTYAK' ROWBOAT,LABEL; CAPACITY,2019-03-04
