Number,MIC,Company Name,Model Name,Problem 1,Last Date
820138S,DXE,DIXIE BOAT WORKS,15 FT BOW RIDER,FAILED LEVEL FLOTATION,1989-02-09
971548S,ZMR,MISTY RIVER MARINE LTD,16 FISHING BOAT,SAFE LOAD: MAX WGT,1987-02-10
821119T,AVP,AVANTI INDUSTRIES,165C,LEVEL FLOTATION,1986-01-06
820071T,,VOLVO PENTA,AQ125/270 DDP GASOLINE EN,STEERING BRACKET MAY BREA,1984-06-05
820152S,SAN,SANGER BOAT,20' DAY CRUISER,VENTILATION,1984-01-05
820153S,WST,PISCES BOAT CO,,,1984-02-04
820112S,BCB,B-CRAFT BOATS,15FT TRI-HULL,LEVEL FLOTATION,1984-01-03
820004S,TCT,THUNDER CRAFT BOATS IN,TITAN 15' O/B TCT07461M,LEVEL FLOTATION,1984-02-02
820079S,LBV,CIMARRON MARINE,500 CL 15'BASS,FLOTATION,1984-02-01
810062S,WEL,WELLCRAFT MARINE CORP.,310 SUNCRUISER,ELECTRICAL STANDARD,1983-01-10
820127S,HSP,HYDRO STREAM,14' VANDAL,LEVEL FLOTATION,1983-07-06
810165S,JHR,INDIAN RIVER BOATS,16FT OPEN FISHMN16FT BOW,OVERATED PERS # AND/OR,1983-06-06
820029T,CHK,CHECKMATE BOATS INC,,BUCKET SEAT ON SOME 79&80,1983-04-06
820090S,ACM,ACTION MARINE,17 FT O/B,FLOTATION,1983-10-05
820008S,DEM,DELHI MANUF CORP,BASS BOSS PRO 40,SAFE LOADING,1983-01-05
820095S,SEZ,DYNAFLYTE MFG CO INC,DYNAFLYTE 17,NO FLOTATION & NO CAP PLT,1983-01-05
820030S,CBA,COBIA BOAT COMPANY,18'CUDDY ODYSSEY,LEVEL FLOTATION,1983-03-04
820147T,HAT,HATTERAS YACHTS DIV,48' THRU 60',BRASS CONNCT'R IN GEN EXH,1983-01-03
820159S,BVM,BANDITT BOAT CO,ONLY BUILD TWO MODEL,MAX PERSONS,1983-09-01
810194S,THU,THUNDER BOLT BOATS,TB 159,SAFE LOADING,1982-07-12
810108S,YHT,YACHT SERVICE INC.-,8' OUTBOARD,SAFE LOADING,1982-04-12
810136S,ELD,ELDO CRAFT,V HULL BOWRIDER,FAILED LEVEL FLOTATION,1982-05-11
810035C,XYU,OCEAN YACHT COMPANY,,AIRPAX T-11 INSTALLED,1982-02-10
820119S,CNE,CAROLINA BOAT CO,14 FT WOODEN SKIFF,FAILED LEVEL FLOTATION,1982-11-09
820016I,UNF,UNIFLITE INCORPORATED,ONAN MCCK,STARTER MTR ON ONAN MCCK,1982-07-08
820016F,LDM,LAZY DAYS MFGR CO,ONAN MCCK,STARTER MTR ON ONAN MCCK,1982-07-08
810035M,MYN,MARINER YACHT CO- INC,,AIRPAX T-11 INSTALLED IN,1982-03-08
820016D,BL1,BAYLINER MARINE CORP,ONAN MCCK,STARTER MTR ON ONAN MCCK,1982-03-08
820016G,SER,SEA RAY BOATS INC,ONAN MCCK,STARTER MTR ON ONAN MCCK,1982-03-08
810065S,BLB,BAYLINER MARINE CO,BAYLINER FORCE,FLOTATION,1982-11-07
820014T,UFS,U.S.FIBER GLASS CORP,15' FISH SKI,MAXWT-,1982-09-07
810111S,HPL,HY-RYDER INC,15' BOWRIDER,LEVEL FLOTATION,1982-06-07
800095S,CWY,CUSTOM LINE INC,18',SAFE PWRING,1982-07-06
810041S,VTT,TRI STATE IND FBRGLASS,14' BASS BOAT,FLOTATION,1982-05-06
810117S,SEJ,SEAJAY BOATS INC,16' KEV TUNNEL MSA 0082/,OVER RATED HORSE POWER,1982-04-06
820042S,SSB,SEA SPRITE BOATS INC,SEA RAIDER,PERSONS CAPACITY TOO HIGH,1982-04-06
810100S,ZBI,CAMPION INC,CAMPION 180ALERTCAMPION 1,LEVEL FLOTATION,1982-10-05
810098S,CTC,CORRECT CRAFT INC,18' SKI-TIQUE,ELECTRICAL BATTERY HOLD,1982-03-04
800283T,XDY,BANGOR PUNTA MARINE,O'DAY 19,HULL/DECK JOINT SEPE,1982-03-04
810035F,TRJ,TROJAN YACHT,F-29,AIRPAX T-11 INSTALLED,1982-01-04
810077T,SER,SEA RAY,260 SUNDANCER,FUEL OVERFLOW/DEFECT,1982-01-04
810123S,CXN,CRUSADER CUSTOM BOATS,MICRO MINI CRUISER (PANT,SAFE POWERING,1982-01-04
810205S,SST,SOMERSET BOAT CO.,HOUSEBOATS ALL MODELS,WRONG SIZE EXHAUST BLOWER,1982-07-02
810074S,CCB,MURRAY CHRIS CRAFT INC,17 FT INBOARD 17 OSS I/,FLOTATION,1982-06-02
800068S,PHY,ZEPHYR,Z-183,MAX WT LEVEL FLOTATI,1982-12-01
810141S,AGB,AERO-GLASS BOAT CO,14' BASSBOAT,LEVEL FLOTATION,1982-07-01
820011S,HEW,HEWES MARINE CORP INC,14' RIVER RUNNER,,1982-06-01
800196S,HUJ,HUNTER BOATS INC,16FT O/B PRO,PERSON CAPACITY,1981-03-12
800051S,LMA,CADDO BOAT MFG CO INC,15FT EAGLE,NONCOMPLIANCE,1981-02-12
810025S,LWN,LOWE INDUSTRIES,16 FT OPEN JON,NO CERT/CAP LABEL,1981-03-11
800154S,BRU,INDIAN RIVER BOATS,14' OUTBOARD,NONCOMPLIANCE,1981-02-11
800112T,GCV,GLASTRON-CARLSON,CXT23,FUEL FITTING,1981-06-10
810034S,,SORENSON MARINE MFG,10'SEMI-VEE,OVER HP RATING,1981-09-09
810095S,XDW,SUNDOWN MARINE,20FT STEELER,BOOT OR COVER ON SOLENOID,1981-09-09
810092S,GTX,GLASTEX CO.,V-680-T-681- T-886-V20,NO BLOWER LABEL,1981-09-09
800101S,AWB,ALUMAWELD BOATS,18FT ALU SLED,NONCOMPLIANCE,1981-03-09
800065S,TPL,TP & L,,,1981-02-09
800021S,DUX,DOUGLAS MARINE CORP,DUX00000-29,NONCOMPLIANCE,1981-02-09
810057S,HMH,HOLIDAY MANSION,HOUSEBOAT,VENTILATION,1981-10-08
800242S,RGL,REGAL FIBERGLASS,WILDCAT,LEVEL FLOATATION,1981-04-08
800116S,NCB,NORRIS CRAFT BOAT CO,17 FT 1700 SPB,FLOT/SAFE LOAD & POWER,1981-05-07
800219S,MBD,MARLIN BOATS-WA,MINI BOAT,HORSEPOWER,1981-04-07
800037S,FSR,FISHER BOAT CO,T15 OUTBOARD,FLOTATION HIN OVER H.P,1981-04-07
800114S,CWS,CRAFT BOAT WORKS,,FLOTATION,1981-08-06
800186S,SGA,SUNSET BOAT CO,14FT PUMA O/B,NONCOMPLIANCE,1981-01-06
800161S,FBC,H&H FIBERGLASS INC,MODEL 1750,SAFE LOADING,1981-04-05
800259S,,ELITE CRAFT INC,20FT INBOARD,NONCOMPLIANCE,1981-03-05
800118S,RHY,RHYAN CRAFT,14E,SINKING/ACCIDENT!,1981-08-04
810048S,ACR,AQUA CRAFT,16' SEMI VEE O/B,FLOTATION,1981-08-03
800176S,HND,HONDO BOATS INC,18' JET,BASIC FLOTATION,1981-06-02
800233S,TPL,TP & L BOATS,10FT O/B,,1981-06-02
800290S,BFU,BONITA SPRINGS FIBERGL,ALL MODELS,HIN- CAPACITY AND,1981-03-02
810006S,HBH,WATERCRAFT INC,BASS 16 FT,FLOTATION/CAPACITIES,1981-02-02
800073S,KNC,SHAWNEE CO INC,15FT ANGLER DE,SAFE POWERING,1981-02-02
800256S,CPG,CAMPAGNA FIBERGLASS SK,16D (16' O/B),LEVEL FLOTATION,1981-12-01
800269S,SKU,SKOOKUM DORIES/PALMER,16 FT SNAKE O/,NO CERT & CAPACITY L,1980-12-11
800099S,WMA,WRIGHT BROTHERS CORP,14FT SPORTSMAN,NONCOMPLIANCE,1980-12-11
800214S,MTF,INTERMOUNTAIN FENCE &,,CERT LABEL-ANTISIPHO,1980-12-11
800123S,JBN,PERFORMANCE ENGINEERIN,TX-19,1 CLAMP ON FUEL FILL,1980-12-11
800080S,AYB,HOWARD CUSTOM BOATS,19FT SUPER JET,FLOTATION,1980-09-10
800230S,AYG,AIRBOAT HEADQUARTERS,11' & 12',FUEL-ELECT-FLOAT,1980-12-08
800072S,GLA,GLASTRON BOAT COMPANY,O/B 192,CERTIFICATION LABEL,1980-10-06
760065S,XMG,CALIF MASTER CRAFT,TRI HULL,FLOTATION,1980-08-06
750083T,XMG,CALIF MASTER CRAFT,18 TRI HULL,STEERING CONTROLS - MORSE,1980-01-06
800100S,JEB,JET-STER BOATS,15FT 16 TRI 15,NONCOMPLIANCE,1980-09-03
800184S,HDB,HOLADY BROS.,,LACKS ANTI-SIPHON PR,1980-09-03
800070S,SBR,SPORT LAFITE,17 SPS LAFITTE,FLOTATION,1980-10-02
800054S,HFG,HORIZON/HOLMES,HORIZON 18 OB,MAX HORSEPOWER,1980-07-01
800028S,EBK,EBKO INDUSTRIES INC,VARIOUS,LACKED CAPACITY/CERT,1980-05-01
770020T,BLB,BAYLINER MARINE CORP,VIC CMD BRG 27,STABILITY,1979-02-08
941269S,NWW,PRIVATEER BOAT COMPANY,1600 BAY BOAT,LEVEL FLOTATION,1970-01-01
820161S,DJL,BANDITT BOATS,,SAFE LOADING,1970-01-01
920295S,RJA,RADIANT MARINE CORP,BAYSTAR 16' O/B,SAFE LOAD MAX PERS & WT,1970-01-01
950352T,,,FORCE OUTBOARD 150 H.P.,O/B FLYWHEEL,1970-01-01
060095T,PAP,PANTHER AIRBOAT CORP,GM 8.1 L ENGINE,ENGINE; GASOLINE,1970-01-01
820054S,PNA,CAMPION INC,160 ARROW,LEVEL FLOTATION,1970-01-01
810090S,RHY,RHYAN CRAFT,10 MODELS,DISPLAY PERSONS CAPACITY,1970-01-01
901204S,HSP,HYDROSTREAM BOATS,15' VIPER,SAFE LOADING,1970-01-01
770004T,MAK,K & L MARINE INC,,SIDE VENTS,1970-01-01
02R0260S,TVE,STOLL MANUFACTURING INC,TRAVELWAVE 360,FUEL SYSTEM,1970-01-01
971542S,STG,"""STERLING BOATS, INC.""",7' SPORTCAT,SAFE LOAD: PERS,1970-01-01
810096S,XDW,SUNDOWN MARINE,,NO CAPACITY LABEL,1970-01-01
03R0217S,LAV,L.A. ENTERPRISES,CRUISING TENDER,LABEL; CAPACITY,1970-01-01
940236T,CRJ,WATERWAYS INC,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1970-01-01
031008T,XRC,RITZ CAMERA BOATERS MARINE,CONCEPT BOOMA 8,LEVEL FLOTATION,1970-01-01
060083T,PCM,PLEASURECRAFT ENGINE GROUP,GM 8.1L ENGINE,ENGINE; GASOLINE,1970-01-01
951384S,LUA,BLUE FIN YACHTS,13 SKIFF,SAFE LOAD: PERS WT,1970-01-01
040048T,ZZN,BOMBARDIER RECREATIONAL PROD,RXP,ACCESS COVER HINGE,1970-01-01
020127S,SAG,SAN AUGUSTINE FBGLS PRODS INC,BAY SEEKER 17,NAVIGATION LIGHTS,1970-01-01
021084S,FEP,FIBERGLASS FABRICATION,SWAMP DUCK 13,LEVEL FLOTATION,1970-01-01
951353S,RDA,CHARGER,173V,LEVEL FLOTATION:,1970-01-01
971520S,QWJ,WAVECUTTER JET BOATS INC,AZURA 166,SAFE LOAD,1970-01-01
940226T,CDG,ALL FAMILY CRAFT INC,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1970-01-01
07R2167,KGK,ADAPTIVE COMPOSITES LLC,R8 OB INFLATABLE,VENTILATION,1970-01-01
820038S,FET,OFFSHORE ENTERPRISES,I/O BOATS,FUEL REGS NON COMPLIANCE,1970-01-01
06R1566S,PJY,THE BARNICLE GROUP LLC,33V INBOARD,FUEL SYSTEM,1970-01-01
940227T,PLC,PRO-LINE BOATS INC,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1970-01-01
940228T,PYH,"""PYTHON MARINE, INC.""",ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1970-01-01
991644S,PLR,POLAR KRAFT MFG CO,MX 1860,LEVEL FLOTATION,1970-01-01
940280S,FRR,FRP INDUSTRIES INC,200 FISHERMAN,LABEL NO CAP OR CERT,1970-01-01
951398s,EHL,PLASTIC ROTOMOLDING & DESIGN,8 SEA SPRAY,LEVEL FLOTATION,1970-01-01
991623s,KDO,CAROLINA FIBERGLASS INC,170 LEADER,LEVEL FLOTATION,1970-01-01
991629S,EGK,EAGLE BOATS INC,EAGLE 138 SKIFF,LEVEL FLOTATION,1970-01-01
060087T,MB2,MALIBU BOATS INC,"""WAKESETTER, VRIDE, RESP, SUNSCA",FUEL SYSTEM,1970-01-01
150013T,BWC,BOSTON WHALER,285/315 CONQUEST 250/280 OUTRAGE,ELECTRICAL SYSTEM,1970-01-01
940233T,SRX,"""SEA RAY BOATS, INC.""",ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1970-01-01
940234T,SRX,"""SEA RAY BOATS, INC.""",ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1970-01-01
07R2372S,TKZ,STARDUST YACHTS,1672 WBSS 72,LABEL; CERTIFICATION,1970-01-01
01R0483S,LZE,LASER BOATS OF TEXAS,22 VISION,VENTILATION,1970-01-01
07R2240,XJL,WHITTTLEY USA INC,"""CRUISER 2590 26' 5""""""",VENTILATION,1970-01-01
940207T,GDY,GODFREY MARINE COMPANY,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1970-01-01
01R0205S,MAP,ESSEX PERFORMANCE BOATS,21 STERLING,VENTILATION,1970-01-01
940231T,FSH,ROYAL MARINE,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1970-01-01
07R2349S,UQH,UNIVERSAL HOVERCRAFT,UH-10F,LABEL; CAPACITY,1970-01-01
07R2217S,UQS,FISHER BEAVERTAIL MFG INC,B-2,LABEL; CAPACITY,1970-01-01
07R2152S,KWE,KEY WEST BOATS INC,KEY WEST 186 OUTBOARD,ELECTRICAL,1970-01-01
021079S,AAL,A & L FIBERGLASS,LAGOON 14 SPORT,SAFE LOADING MAX WT,1970-01-01
951394S,POU,POLY TOTE BOAT DIVISION OF,WARRIOR V166SC,LEVEL FLOTATION,1970-01-01
971568T,CEC,BOMBARDIER LTD,SPEEDSTER,STEERING NOZZLE SCREWS,1970-01-01
990111T,SSU,TIARA YACHTS INC,TIARA 3100 OPEN,ELECTRICAL: CIRCUIT BRKRS,1970-01-01
020154T,HQZ,SOS SOSPENDERS,INFLATABLE PFDS SEE BELOW,INFLATION UNIT,1970-01-01
940237T,SSS,SPECTRE POWERBOATS,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1970-01-01
940238T,CKL,CONCORD BOAT CORP,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1970-01-01
02R0345S,FZZ,FUNTIME HOUSEBOATS,CONTINENTAL,LABEL; BLOWER WARNING,1970-01-01
981612S,MRN,AMERICON,176 DC CASCO BAY RUNNER,LEVEL FLOTATION,1970-01-01
820053S,PNA,CAMPION INC,180 ALERT,LEVEL FLOTATION,1970-01-01
010009T,SGU,SKIPPERLINER HOUSEBTS,UNK,GENERATOR EXHAUST (CO),1970-01-01
911026T,BUJ,TRACKER MARINE L.P.,ALL ALUMINUM & FIBERGLASS,KILL SWITCH FAILURE,1970-01-01
951426S,QGT,GRAYSTAR INDUSTRIES LTD,NS170,LEVEL FLOTATION,1970-01-01
981576S,ESJ,EUROSPORT MARINE PROD. INC.,180,LEVEL FLOTATION,1970-01-01
820016C,RA1,AMF HATTERAS ROBALO,MCCK,ONAN GENERATOR NOT IGNTIO,1970-01-01
961455s,ZXM,CADOR-MAT,R-140,SAFE LOAD: PER WGT,1970-01-01
960094T,FGE,COBALT BOATS,190,FUEL SYSTEM,1970-01-01
041014R1,NRB,NORTH RIVER JET BOATS INC,1710 SCOUT,,1970-01-01
900760T,CTC,CORRECT CRAFT INC,SPORT & SKI NAUTIQUES,FUEL TANKS,1970-01-01
941337S,TCZ,TREMBLAY CUSTOM BOATS,SPORTFISH 176S,LEVEL FLOTATION,1970-01-01
950353T,,,MARINER AND MERCURY O/B,FLYWHEEL RING GEAR CRACK,1970-01-01
940200T,AFP,ANCHOR INDUSTRIES INC,ALL USING MERCURY JET 90,NON IGN PROTECTED TERM.,1970-01-01
940202T,BPC,BUCCANEER POWER BOATS,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1970-01-01
950285T,BYQ,BAYLINER MARINE CORP,1903 TROPHY (FK),FLOTATION INSUFFICIENT,1970-01-01
911131T,WEL,WELLCRAFT MARINE CORP,28' COASTAL CRUISER,GAS TANK RUPTURED,1970-01-01
990011T,FNA,FRERS N AMERICAN,SEA LAND SANI PUMP,ELECTRICAL BOARD MAY OVER,1970-01-01
820120S,RDJ,SEBRICH CRAFT,15.15 FT O/B,FLOTATION,1970-01-01
03R0485S,GQA,GAUSE BUILT CUSTOM BOATS INC,GAUSE BUILT 23,NAV LIGHTS,1970-01-01
930259S,RDA,CHARGER,160 V BASS BOAT,LEVEL FLOTATION,1970-01-01
971544S,STG,"""STERLING BOATS, INC.""",1600 FISHERMAN,LEVEL FLOTATION,1970-01-01
02R0589S,NQT,A1A NAUTICAL INC,LEGEND 34,VENTILATION,1970-01-01
10R3795S,NUS,NEOTERIC USA INC,'HOVERTEK' AIR CUSHION VESSEL,'ALL-ROUND FLASHING LIGHT,1970-01-01
920290S,BUJ,"""TRACKER MARINE, L.P.""",16' OPEN BASS,SAFE LOAD MAX WT OVERATED,1970-01-01
810151S,MLQ,M & L FIBERGLASS,M & L SPORTSMAN,NO CAPACITY LABEL,1970-01-01
981604S,BRL,BRISTOL BOATS,172 BAY SKIFF,LEVEL FLOTATION,1970-01-01
950117T,LHT,AMERICAN BOAT CORP,20 & 24' RAVEN 24 STINGER,FUEL FILL FITTING CRACKS,1970-01-01
021082S,RVG,RIVERCRAFT MARINE,PT-14W,LEVEL FLOTATION,1970-01-01
961445s,STG,"""STERLING BOATS, INC.""",LAGACY 1700,LEVEL FLOTATION,1970-01-01
06R1520S,IPG,PYGMY BOATS INC,WINEGLASS WHERRY ROWBOAT KIT,LABEL; CAPACITY,1970-01-01
040098T,BEY,BENETEAU USA INC,OCEANIS 473,STEERING LOSS,1970-01-01
021092S,DMA,DOUGHERTY MARINE,13' SKIFF,MAX WEIGHT,1970-01-01
990029S,WJO,WAHOO BOATS,2120 VB ROBALO,LABEL CAPACITY,1970-01-01
990030T,OMC,OUTBOARD MARINE CORP,SUZUKI DF60/70 & JOHNSON/EVINRUD,O/B GEAR CHANGE LINKAGE,1970-01-01
940229T,RGT,REGAL MARINE,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1970-01-01
01R0258S,SAV,SEA ARROW MARINE CORP,V200 SUPERSPORT,FUEL SYSTEM,1970-01-01
940225T,PTJ,NAUTICA INT'L INC,ALL WITH MERC SPORT 90,NON IGN PROTECTED DEVICE,1970-01-01
020128T,YAM,YAMAHA MOTOR CORP USA,FX-1000-A & FX1000C-A PWCS,ENGINE; GASOLINE,1970-01-01
021078S,XPK,STOTT CRAFT,MONACO 1700 CC,LEVEL FLOTATION,1970-01-01
950255T,SBY,SUPERBOATS INC,DID NOT USE THIS FITTING,FUEL FILL FITTING CRACKS,1970-01-01
020176T,YAM,YAMAHA MOTOR CORP USA,FX1000C-A (FX140),ELECTRICAL,1970-01-01
03R0512S,RZK,BACKBAY BOATWORKS,TRITON TANDEM SAILOR,HULL ID NUMBER,1970-01-01
22MF0005,BUJ,WHITE RIVER MARINE GROUP LLC,VARIOUS - SEE DOCS,,1970-01-01
22MF0618,AKY,PURE WATERCRAFT INC,,,1970-01-01
22MF0627,YDV,BOMBARDIER RECREATIONAL PRODU,,,1970-01-01
22MF0628,YDV,BOMBARDIER RECREATIONAL PRODU,,,1970-01-01
22MF0629,YAM,YAMAHA MOTOR CORP USA,,,1970-01-01
800193S,DMN,DOGGETT MARINE IND,TROPHY 15,FLOTATION,1980-10-14
070031T,XDC,ZODIAC INTERNATIONAL,"""ATLANTIC, BALTIC, PACIFIC, XM O",DYSFUNCTIONAL,2007-08-14
941324S,ILP,INVADER MARINE INC,REEFRUNNER,LEVEL FLOTATION,1995-02-28
810180S,HWK,HOLMES BOAT WORKS,15' SKIFF,FLOTATION,1982-03-21
07R2593S,GDY,GODFREY MARINE COMPANY,SD 2400,VENTILATION,2009-08-20
800234S,TCT,THUNDER CRAFT BOATS IN,TITAN 150,NO FLOTATION,1981-03-20
050072T,QJA,DORAL INTERNATIONAL INC,SEE COMMENTS,EXHAUST SYSTEM,2007-10-26
090021T,HQZ,BOMBARDIER RECREATIONAL PROD,EVINRUDE E-TEC,VAPOR SEPARATOR,2012-05-21
990185T,BWC,BOSTON WHALER INC,CONQUEST; OUTRAGE,ELECTRICAL SYSTEM - GROUN,2003-01-30
950355T,,,FORCE OUTBOARD 40/50 HP,THROTTLE LINKAGE DISENGAG,1999-06-30
990027T,FGE,COBALT BOATS,293,CO INTRUSION,2001-06-21
991643S,BEB,BEACON BOATS,PISCES 12,SAFE LOADING MAX WT,2000-03-29
820129S,ACM,ACTION MARINE,18 FT O/B,FLOTATION,1983-08-20
000077T,,MERCURY MARINE,MERCRUISER ENGINES,FUEL PUMP MAY CRACK,2003-01-30
810106T,,VOLVO PENTA OF AMERICA,AQ145,FUEL LINE BREAKAGE-PUMP,1982-07-29
950085T,YAM,YAMAHA MOTOR CORP USA,XVT700T PERSONAL WTRCRFT,STEERING,1995-02-15
971504S,EFD,EASTERN FIBERGLASS INC.,19' OPEN BOAT,SAFE LOAD: PERS,1997-05-29
980064T,FGE,COBALT BOATS,VARIOUS,ELECTRICAL WIRING,1999-12-14
060080T,NLP,TIDEWATER BOATS LLC,"""18, 19, & 21 BAY; 216 CC""",FUEL FILL FITTING CRACKS,2008-11-13
060081T,KEN,"""TRACKER MARINE GROUP, LLC""","""KENNER, MAKO, TAHOE""",FUEL FILL FITTING CRACKS,2013-09-16
800202T,,OUTBOARD MARINE CORP,STERNDRIVE POWERSTEERING,CRACKED NUT,1981-06-29
800203S,MMT,MARINE MART,SKIPTON 16,,1981-05-20
020185S,CEC,BOMBARDIER MOTOR CORP OF AMER,FISHHAWK,FUEL SYSTEM,2006-03-15
951361S,CAJ,VYPER BOATS INC,RUNABOUT,LEVEL FLOTATION,1996-01-24
941254S,TMO,TALON MARINE CO,V-16,SAFE LOAD PERS,1994-11-22
951406s,ZBI,CAMPION MARINE LTD,165 EXPLORER,LEVEL FLOTATION,1998-06-23
05R0784S,ITR,ROYAL BOATS COMPANY LLC,169 SS,VENTILATION,2006-03-24
030090T,MRK,MAKO PLEASURECRAFT INC,282,HULL STRUCTURE,2009-01-29
01R0001S,TDQ,THE DINGHY COMPANY,13 FOOT ROWBOAT,CAPACITY MARKING - NONE,2002-01-17
970032T,ZZN,BOMBARDIER CORP,GTS,FUEL SYSTEM,2000-06-15
090041S,CRC,CRESTLINER INC,1650 CANADIAN,LEVEL FLOTATION,2012-05-23
060073T,MKC,MCKEE CRAFT,SEE REMARKS,FUEL FILL FITTING CRACKS,2008-02-21
07R2375S,SAQ,SUMERSET ACQUISITION LLC,16 X 80 HOUSEBOAT,VENTILATION,2008-01-28
060071T,MRK,MAKO MARINE INTL INC,"""M184CC, M204CC""",FUEL FILL FITTING CRACKS,2007-06-15
930048T,MPD,BRUNSWICK MARINE POWER,SPECTRUM MODEL 16,LEVEL FLOTATION,1993-04-29
041024T,NRB,NORTH RIVER JET BOATS INC,1710 SCOUT,LABEL; CAPACITY,2006-01-26
820160S,JBX,JET BOAT ENGR OF OKLA,ONLY MODEL,OLD STYLE LABEL,1984-06-20
970044T,CDR,CARVER BOAT CORPORATION,310 EXPRESS,ELECTRICAL GENERATOR,1999-04-30
990173T,,MERCURY MARINE,3.0 LITRE OUTBOARDS,STEERING ARM BOLT HOLES,2003-12-17
920257T,ZZN,BOMBARDIER CORP,SEA DOO 5851 (XP),STEERING CONTROL LOSS,1992-11-16
031017S,PIO,SEA PRO BOATS INC,SV 1700 CC,LEVEL FLOTATION,2008-09-25
950205T,MOR,MOORE MARINE MARKETING INC,SKI PRO,FUEL FILL FITTING CRACKS,1998-03-19
030015T,BUJ,TRACKER MARINE L.P.,BASS BUGGY 18 & OTHERS,FUEL SYSTEM,2006-05-17
030073T,MDN,MERIDIAN YACHTS INC,408 SEDAN,ELECTRICAL SYSTEM,2006-01-19
981582S,GBC,GREGOR BOAT COMPANY,CH 45L,LEVEL FLOTATION,1999-07-22
090008T,HQZ,VOLVO PENTA OF THE AMERICAS,3.0GXI GASOLINE MARINE ENGINES,FUEL SYSTEM,2012-02-29
040095S,ACB,ALUMACRAFT BOAT CO,LUNKER 165 FISHERMAN 145 ET AL,LEVEL FLOTATION,2005-03-29
951382S,ZLL,LARIVEE MARINE ENGINEERING,14 FISHER,LEVEL FLOTATION,1995-12-18
120047T,,TORQUEEDO,"TRAVEL 401, 801, AND ULTRALIGHT",ELECTRICAL,2017-08-23
020189T,SZJ,SUMERSET HOUSEBOATS,VARIOUS,ELECTRICAL SYSTEM,2002-10-28
090034S,CRC,CRESTLINER INC,1600 FISH HAWK SIDE CONSOLE,LEVEL FLOTATION,2012-05-23
01R0122S,THH,TEAM HAWAIIAN,24 OFFSHORE,VENTILATION,2002-10-16
090012T,MBC,MASTERCRAFT BOAT CO LLC,PROSTAR 214 AND X-14,FUEL SYSTEM,2012-09-28
010104T,OMC,LOWE BOATS,SUN CRUISER PONTOON BOATS,FUEL TANK LEAKS,2004-12-30
950019T,YAM,YAMAHA MOTOR CORP USA,FX700S AND T PRSNL WTRCRF,FUEL TANK RUBBER STRAP,1996-10-17
810159S,FFL,THE SPORTS SHOP (F&F),15' JOHN BOAT,LEVEL FLOTATION,1982-08-25
930187T,YAM,YAMAHA MOTOR CORP USA,WAVERUNNER III,STEERING CABLE MAY BREAK,1995-06-21
021065S,BUJ,TRACKER MARINE L.P.,SEE NOTES,LEVEL FLOTATION,2008-07-23
961487S,MGL,MARINE GROUP LLC,S-18B,LEVEL FLOTATION,1999-08-27
950208T,NOR,CRESTLINER INC,KODIAK 18CC,FUEL FILL FITTING CRACKS,1996-11-18
951372S,SBO,DAVIS MFG CO,12.58 FT RIVER HAWK,LEVEL FLOTATION FAILED,1995-10-31
08R2774S,GQE,EPIC BOATS,23V,VENTILATION,2008-04-16
810009S,TNF,TINY'S FIBERGLASS,7' SCORPION,MAX WEIGHT,1981-08-31
800045S,CEM,COLE BOATS,,MAX WEIGHT,1980-07-14
051027R3,ZBI,CAMPION INC,EXPLORER 494 CC,SAFE LOADING MAX PERS WT,2009-05-26
940157T,WET,WETJET,WET JET DUO 200,FUEL LEAK FUEL NECK GASKE,1999-03-25
970108S,BRC,SEASWIRL BOATS,SEE NEXT PAGE,LEVEL FLOTATION,2000-11-30
02R0259T,GSU,SPLENDOR BOATS,240 PLATINUM,VENTILATION,2003-05-13
08R2924S,XMT,TURNER MARINE GROUP,PORTIFINO 7.5,VENTILATION,2010-06-15
060014T,,MERCURY MARINE,MERCRUISER ALPHA & BRAVO,ALTERNATOR WIRE MAY CHAFE,2016-06-21
05R1005S,BLN,BAYLINER,197 SD INBOARD,EXHAUST BLOWER LABEL,2006-03-16
800172S,GPD,BOATS UNLTD,19' BEACHCOMBE,CAPACITY INFO,1982-03-21
03R0059S,HQB,B & H PERFORMANCE BOATS,WATER ROD 280,ELECTRICAL SYSTEM,2003-04-20
800096S,LBV,CIMMARRON BOATS,500C RUNABOUT,SAFE POWERING HIN,1982-12-23
961472S,PWV,PARKS MFG INC,165 CLASSIC,SAFE LOAD: PERS WT,1996-10-31
950140T,CZA,CLASSIC BOATS OF AUSTIN,,FUEL FILL FITTING CRACKS,1998-02-24
